year,bucket,count
2018,ATTENUATION_MITIGATED,4
2018,OUT_OF_SCOPE_BELOW_LANG,1
2018,STRUCTURAL_REJECT,11
2019,ATTENUATION_MITIGATED,4
2019,OUT_OF_SCOPE_BELOW_LANG,1
2019,STRUCTURAL_REJECT,7
2020,ATTENUATION_MITIGATED,4
2020,STRUCTURAL_REJECT,7
2021,ATTENUATION_MITIGATED,2
2021,STRUCTURAL_REJECT,18
2022,ATTENUATION_MITIGATED,9
2022,OUT_OF_SCOPE_BELOW_LANG,1
2022,STRUCTURAL_REJECT,15
2023,ATTENUATION_MITIGATED,8
2023,OUT_OF_SCOPE_BELOW_LANG,1
2023,STRUCTURAL_REJECT,21
2024,ATTENUATION_MITIGATED,4
2024,STRUCTURAL_REJECT,32
