"pair","python_function","capa_function","capability","how","t2_attributes","t2b_attributes","t3_attributes","t2_false_clears","t2b_false_clears","t3_false_clears","dataflow_would_resolve","t2b_codeql"
"command_registry","dispatch","dispatch","Fs","via-dispatch","no","no","no","yes","yes","no","no","misses"
"command_registry","dispatch","dispatch","Net","via-dispatch","no","no","no","yes","yes","no","no","misses"
"event_bus","emit","emit","Fs","via-dispatch","no","no","no","yes","yes","no","no","misses"
"event_bus","emit","emit","Net","via-dispatch","no","no","no","yes","yes","no","no","misses"
"log_forwarder","forward_log","forward_log","Fs","via-helper","no","yes","yes","yes","no","no","yes","attributes"
"middleware_chain","run_pipeline","run_pipeline","Env","via-dispatch","no","no","no","yes","yes","no","no","misses"
"middleware_chain","run_pipeline","run_pipeline","Fs","via-dispatch","no","no","no","yes","yes","no","no","misses"
"reflect_dispatch","dispatch","dispatch","Fs","via-dispatch","no","no","no","yes","yes","no","no","misses"
"reflect_dispatch","dispatch","dispatch","Net","via-dispatch","no","no","no","yes","yes","no","no","misses"
"session_token","generate_token","generate_token","Random","via-helper","no","yes","yes","yes","no","no","yes","attributes"
"tagged_factory","run_action","run_action","Fs","via-data","no","no","no","yes","yes","no","no","misses"
"tagged_factory","run_action","run_action","Net","via-data","no","no","no","yes","yes","no","no","misses"
