pair,python_function,capa_function,capability,how
config_loader,load_config,load_full_config,Fs,direct
config_loader,load_config,load_full_config,Env,direct
config_loader,load_config,load_full_config,Net,direct
dotenv,load_dotenv,load_dotenv,Fs,direct
dotenv,load_dotenv,load_dotenv,Env,direct
env_loader,load_settings,load_settings,Env,direct
glob_walker,find_files,walk_dir,Fs,direct
ini_loader,load_ini,load_ini,Fs,direct
disk_cache,cache_get,cache_get,Fs,direct
disk_cache,cache_get,cache_get,Clock,direct
disk_cache,cache_set,cache_set,Fs,direct
http_retry,fetch_with_retry,fetch_with_retry,Net,direct
http_retry,fetch_with_retry,fetch_with_retry,Clock,direct
url_fetch,fetch_json,fetch_json,Net,direct
log_forwarder,_read_tail,read_tail,Fs,direct
log_forwarder,forward_log,forward_log,Fs,via-helper
log_forwarder,forward_log,forward_log,Net,direct
rate_limiter,make_bucket,make_bucket,Clock,direct
rate_limiter,try_acquire,try_acquire,Clock,direct
secret_rotator,make_rotator,make_rotator,Env,direct
secret_rotator,make_rotator,make_rotator,Clock,direct
secret_rotator,get_secret,get_secret,Env,direct
secret_rotator,get_secret,get_secret,Clock,direct
session_token,_random_id,random_id,Random,direct
session_token,generate_token,generate_token,Random,via-helper
session_token,generate_token,generate_token,Clock,direct
session_token,is_token_valid,is_token_valid,Clock,direct
short_uuid,generate,generate,Random,direct
command_registry,_fetch,fetch_handler,Net,direct
command_registry,_save,save_handler,Fs,direct
command_registry,dispatch,dispatch,Net,via-dispatch
command_registry,dispatch,dispatch,Fs,via-dispatch
event_bus,audit_to_disk,audit_to_disk,Fs,direct
event_bus,forward_to_webhook,forward_to_webhook,Net,direct
event_bus,emit,emit,Fs,via-dispatch
event_bus,emit,emit,Net,via-dispatch
reflect_dispatch,handle_sync,handle_sync,Net,direct
reflect_dispatch,handle_persist,handle_persist,Fs,direct
reflect_dispatch,dispatch,dispatch,Net,via-dispatch
reflect_dispatch,dispatch,dispatch,Fs,via-dispatch
tagged_factory,_action_export,action_export,Net,direct
tagged_factory,_action_archive,action_archive,Fs,direct
tagged_factory,run_action,run_action,Net,via-data
tagged_factory,run_action,run_action,Fs,via-data
middleware_chain,stage_audit,make_audit_stage,Fs,direct
middleware_chain,stage_inject_token,make_token_stage,Env,direct
middleware_chain,run_pipeline,run_pipeline,Fs,via-dispatch
middleware_chain,run_pipeline,run_pipeline,Env,via-dispatch
