"pair","ground_truth_facts","t1_recall","t2_recall","t3_recall","t1_pct","t2_pct","t3_pct"
"colorama","0","0/0","0/0","0/0","n/a","n/a","n/a"
"config_loader","3","0/3","3/3","3/3","0.0","100.0","100.0"
"csv_parser","0","0/0","0/0","0/0","n/a","n/a","n/a"
"disk_cache","3","0/3","3/3","3/3","0.0","100.0","100.0"
"dotenv","2","0/2","2/2","2/2","0.0","100.0","100.0"
"env_loader","1","0/1","1/1","1/1","0.0","100.0","100.0"
"glob_walker","1","0/1","1/1","1/1","0.0","100.0","100.0"
"http_retry","2","0/2","2/2","2/2","0.0","100.0","100.0"
"humanize","0","0/0","0/0","0/0","n/a","n/a","n/a"
"ini_loader","1","0/1","1/1","1/1","0.0","100.0","100.0"
"log_forwarder","3","0/3","2/3","3/3","0.0","66.7","100.0"
"pathspec","0","0/0","0/0","0/0","n/a","n/a","n/a"
"rate_limiter","2","0/2","2/2","2/2","0.0","100.0","100.0"
"secret_rotator","4","0/4","4/4","4/4","0.0","100.0","100.0"
"session_token","4","0/4","3/4","4/4","0.0","75.0","100.0"
"short_uuid","1","0/1","1/1","1/1","0.0","100.0","100.0"
"slugify","0","0/0","0/0","0/0","n/a","n/a","n/a"
"tabulate","0","0/0","0/0","0/0","n/a","n/a","n/a"
"textwrap","0","0/0","0/0","0/0","n/a","n/a","n/a"
"url_fetch","1","0/1","1/1","1/1","0.0","100.0","100.0"
