category,attack_id,rejected,exit_code,rejection_reason,description
cat_fs_traversal,fs_traversal_direct_call,True,1,C:\Users\nelso\AppData\Local\Temp\tmp92datlym.capa:2:14: error: capability 'Fs' cannot be constructed at a call site; capabilities only flow through function parameters (declare fs: Fs on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Direct construction of Fs inside main(stdio: Stdio) and read of /etc/passwd. This is the exact pattern that surfaced the soundness hole on 2026-05-24.
cat_fs_traversal,fs_traversal_in_helper,True,1,C:\Users\nelso\AppData\Local\Temp\tmpfwlyud_p.capa:2:14: error: capability 'Fs' cannot be constructed at a call site; capabilities only flow through function parameters (declare fs: Fs on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Fs inside a helper called by main. Verifies the check is not main-specific.
cat_fs_traversal,fs_traversal_relative_path,True,1,C:\Users\nelso\AppData\Local\Temp\tmpemvp0q_8.capa:2:14: error: capability 'Fs' cannot be constructed at a call site; capabilities only flow through function parameters (declare fs: Fs on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Direct Fs forge reading a relative path that exists on the harness CWD (README.md). Catches the case where /etc/passwd OSError masks the leak on Windows.
cat_env_leak,env_forge_direct_anthropic_api_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmp3ly_rtzy.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read ANTHROPIC_API_KEY.
cat_env_leak,env_forge_helper_anthropic_api_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmpfozyzzkz.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate ANTHROPIC_API_KEY.
cat_env_leak,env_forge_direct_openai_api_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmpwtamqbtp.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read OPENAI_API_KEY.
cat_env_leak,env_forge_helper_openai_api_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmphs4kmrb6.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate OPENAI_API_KEY.
cat_env_leak,env_forge_direct_aws_secret_access_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmp4rftukvs.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read AWS_SECRET_ACCESS_KEY.
cat_env_leak,env_forge_helper_aws_secret_access_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmptw9bxx7a.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate AWS_SECRET_ACCESS_KEY.
cat_env_leak,env_forge_direct_github_token,True,1,C:\Users\nelso\AppData\Local\Temp\tmpkdk35_eo.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read GITHUB_TOKEN.
cat_env_leak,env_forge_helper_github_token,True,1,C:\Users\nelso\AppData\Local\Temp\tmp0zre1kib.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate GITHUB_TOKEN.
cat_env_leak,env_forge_direct_database_url,True,1,C:\Users\nelso\AppData\Local\Temp\tmpr9w6c0sf.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read DATABASE_URL.
cat_env_leak,env_forge_helper_database_url,True,1,C:\Users\nelso\AppData\Local\Temp\tmpirpab103.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate DATABASE_URL.
cat_env_leak,env_forge_direct_stripe_secret_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmpxe34qawh.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read STRIPE_SECRET_KEY.
cat_env_leak,env_forge_helper_stripe_secret_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmpl7b858c5.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate STRIPE_SECRET_KEY.
cat_env_leak,env_forge_direct_jwt_secret,True,1,C:\Users\nelso\AppData\Local\Temp\tmpw1us6yop.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read JWT_SECRET.
cat_env_leak,env_forge_helper_jwt_secret,True,1,C:\Users\nelso\AppData\Local\Temp\tmpb2i04301.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate JWT_SECRET.
cat_env_leak,env_forge_direct_slack_bot_token,True,1,C:\Users\nelso\AppData\Local\Temp\tmpfl8l21hf.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read SLACK_BOT_TOKEN.
cat_env_leak,env_forge_helper_slack_bot_token,True,1,C:\Users\nelso\AppData\Local\Temp\tmpa3jmsr5u.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate SLACK_BOT_TOKEN.
cat_env_leak,env_forge_direct_google_application_credentials,True,1,C:\Users\nelso\AppData\Local\Temp\tmprkktu1ry.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read GOOGLE_APPLICATION_CREDENTIALS.
cat_env_leak,env_forge_helper_google_application_credentials,True,1,C:\Users\nelso\AppData\Local\Temp\tmpsnfa0rh0.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate GOOGLE_APPLICATION_CREDENTIALS.
cat_env_leak,env_forge_direct_dd_api_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmpx0uze8fq.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside main(stdio: Stdio) and read DD_API_KEY.
cat_env_leak,env_forge_helper_dd_api_key,True,1,C:\Users\nelso\AppData\Local\Temp\tmpiu629kqq.capa:2:15: error: capability 'Env' cannot be constructed at a call site; capabilities only flow through function parameters (declare env: Env on this function and let the caller pass it in). Constructing a capability locally would let any function silently obtain authority it never declared.,Forge Env inside a no-cap helper and exfiltrate DD_API_KEY.
