"pair","fns_total","fns_with_caps","fns_pure","caps_declared","per_fn_info_bits","naive_imports","naive_cap_modules"
"colorama","9","1","8","Stdio","1","",""
"config_loader","8","5","3","Env;Fs;Net;Stdio","7","json;os;urllib.request","os;urllib.request"
"csv_parser","7","1","6","Stdio","1","",""
"disk_cache","6","3","3","Clock;Fs;Stdio","5","os;time","os;time"
"dotenv","6","4","2","Env;Fs;Stdio","5","os","os"
"env_loader","5","3","2","Env;Stdio","4","os","os"
"glob_walker","5","2","3","Fs;Stdio","2","glob;os","glob;os"
"http_retry","5","4","1","Clock;Net;Stdio","5","time;urllib.error;urllib.request","time;urllib.error;urllib.request"
"humanize","7","1","6","Stdio","1","",""
"ini_loader","5","2","3","Fs;Stdio","2","",""
"log_forwarder","6","4","2","Fs;Net;Stdio","5","json;urllib.request","urllib.request"
"pathspec","7","1","6","Stdio","1","re",""
"rate_limiter","6","3","3","Clock;Stdio","3","time","time"
"secret_rotator","5","3","2","Clock;Env;Stdio","5","os;time","os;time"
"session_token","8","4","4","Clock;Random;Stdio","5","secrets;time","secrets;time"
"short_uuid","4","2","2","Random;Stdio","3","secrets","secrets"
"slugify","5","1","4","Stdio","1","re;unicodedata",""
"tabulate","9","1","8","Stdio","1","typing",""
"textwrap","4","1","3","Stdio","1","",""
"url_fetch","5","3","2","Net;Stdio","3","json;urllib.request","urllib.request"
"TOTAL","122","49","73","Clock;Env;Fs;Net;Random;Stdio","61","glob;json;os;re;secrets;time;typing;unicodedata;urllib.error;urllib.request","glob;os;secrets;time;urllib.error;urllib.request"
